date,pm2.5,pm10,temp,humidity
2019.9.16 19:27,2,3,25.9,51.5
2019.9.16 19:27,4,4,25.9,51.5
2019.9.16 19:28,4,4,25.9,51.5
2019.9.16 19:28,4,4,25.9,51.5
2019.9.16 19:28,4,4,25.9,51.5
2019.9.16 19:28,4,4,25.9,51.4
2019.9.16 19:28,4,4,25.8,51.3
2019.9.16 19:28,4,4,25.9,51.4
2019.9.16 19:28,4,4,25.9,51.3
2019.9.16 19:28,4,5,25.8,51.2
2019.9.16 19:28,4,5,25.8,51.3
2019.9.16 19:28,3,5,25.8,51.3
2019.9.16 19:28,3,5,25.8,51.2
2019.9.16 19:28,3,5,25.8,51.1
2019.9.16 19:29,3,5,25.8,51.1
2019.9.16 19:29,3,5,25.8,51.2
2019.9.16 19:29,3,5,25.8,51.2
2019.9.16 19:29,3,3,25.8,51.2
2019.9.16 19:29,3,3,25.7,51.3
2019.9.16 19:29,3,3,25.7,51.4
2019.9.16 19:29,3,3,25.7,51.4
2019.9.16 19:29,3,3,25.8,51.5
2019.9.16 19:29,3,3,25.7,51.5
2019.9.16 19:29,4,4,25.7,51.4
2019.9.16 19:29,4,4,25.7,51.4
2019.9.16 19:29,4,4,25.7,51.4
2019.9.16 19:30,4,4,25.7,51.4
2019.9.16 19:30,3,3,25.7,51.4
2019.9.16 19:30,3,3,25.7,51.4
2019.9.16 19:30,2,2,25.6,51.3
2019.9.16 19:30,2,2,25.7,51.4
2019.9.16 19:30,2,2,25.6,51.4
2019.9.16 19:30,1,1,25.6,51.4
2019.9.16 19:30,3,3,25.6,51.4
2019.9.16 19:30,2,2,25.6,51.4
2019.9.16 19:30,1,1,25.6,51.4
2019.9.16 19:30,1,1,25.6,51.5
2019.9.16 19:30,3,3,25.6,51.5
2019.9.16 19:31,3,3,25.6,51.5
2019.9.16 19:31,3,3,25.6,51.5
2019.9.16 19:31,3,3,25.6,51.6
2019.9.16 19:31,3,3,25.6,51.6
2019.9.16 19:31,3,3,25.5,51.5
2019.9.16 19:31,3,4,25.5,51.5
2019.9.16 19:31,3,4,25.5,51.6
2019.9.16 19:31,1,4,25.6,51.6
2019.9.16 19:31,1,4,25.6,51.6
